transaction_info,merchant_name,Category,Predicted_Category
PEP CELL 4369 HAMMANSK  GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
LIBERTY LIQUORS QUEEN   KWAZULU NATAKZZA,GiftCentral Card Issuer (POS),Banking,Banking
Boxer Spr Qualbert      Durban      KZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
LiquorShop Rank         SB018051    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
NORMANDIE LIQOURS       Durban      ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Jwayelani Queen Street  Durban      KZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
BP CHESS SERVICE STATI OMAYVILLE    KNZA,GiftCentral Card Issuer (POS),Transportation,Transportation
CHECKMAR10000000148629  MAYVILLE    ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
AckermansC  Hammarsdal  KZN         KZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Boxer Spr Madadeni      Newcastle   KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans Connect Dave  GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
DOMINIQUE ' S           Randburg    ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
EL CORRO PHARMA         UN          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
WOOLWORTHS              CRESTA      GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
BIANCHINI JEWELLRY DES  Roodepoort  ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CRAZY STORE FY FLEURDA  LFLEURDAL    FZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CheckersHyper Bloemfon  SB007727    FSZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Shoprite Mangaung       SB001640    FSZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
ROOTS ROCKLANDS_WPRO    BLOEMFONTEINFSZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
